C000395,113,59886,55926,51246,,,,
C000396,113,59886,55926,51246,,,,
C000397,0,80736,73926,65886,,,,
C000398,114,22266,20496,18396,,,,
C000399,114,22266,20496,18396,,,,
C000400,0,30066,27276,23976,,,,
C000401,0,110976,108816,106266,,,,
C000402,0,110976,108816,106266,,,,
C000403,0,122316,118596,114216,,,,
C000404,115,121116,118866,116226,,,,
C000405,115,121116,118866,116226,,,,
C000406,85,132786,128946,124446,,,,
C000407,85,56826,55266,53436,,,,
C000408,0,56826,55266,53436,,,,
C000409,0,63336,60936,58116,,,,
C000410,0,54246,52956,51426,,,,
C000411,0,54246,52956,51426,,,,
C000412,86,58386,56556,54426,,,,
C000413,86,46536,45156,43566,,,,
C000414,0,46536,45156,43566,,,,
C000415,0,50766,48846,46596,,,,
C000416,0,116166,114156,111816,,,,
C000417,0,116166,114156,111816,,,,
C000418,87,130746,126666,121836,,,,
C000419,87,40086,39066,37836,,,,
C000420,0,40086,39066,37836,,,,
C000421,0,44736,43056,41076,,,,
C000422,88,35676,34596,33306,,,,
C000423,0,35676,34596,33306,,,,
C000424,0,40506,38766,36696,,,,
C000425,89,45816,44916,43866,,,,
C000426,0,45816,44916,43866,,,,
C000427,0,49626,48186,46536,,,,
C000428,90,81516,80796,79926,,,,
C000429,0,81516,80796,79926,,,,
C000430,0,84606,83466,82086,,,,
C000431,91,55146,54006,52656,,,,
C000432,0,55146,54006,52656,,,,
C000433,0,60756,58806,56526,,,,
C000434,111,12336,10626,8616,,,,
C000435,0,12336,10626,8616,,,,
C000436,0,17856,15486,12726,,,,
C000437,116,23166,21336,19206,,,,
C000438,116,23166,21336,19206,,,,
C000439,0,29676,27066,24006,,,,
C000440,117,54066,50466,46266,,,,
C000441,0,54066,50466,46266,,,,
C000442,0,73086,66876,59616,,,,
C000443,118,17826,16776,15516,,,,
C000444,118,17826,16776,15516,,,,
C000445,0,23256,21426,19266,,,,
C000446,119,56286,54846,53136,,,,
C000447,0,56286,54846,53136,,,,
C000448,0,62316,60096,57486,,,,
C000449,120,54366,53196,51846,,,,
C000450,0,54366,53196,51846,,,,
C000451,0,59736,57846,55596,,,,
C000452,121,14766,14076,13296,,,,
C000453,121,14766,14076,13296,,,,
C000454,0,19176,17856,16296,,,,
C000455,92,32646,31086,29256,,,,
C000456,92,32646,31086,29256,,,,
C000457,0,39156,36756,33936,,,,
C000458,93,24696,23316,21726,,,,
C000459,93,24696,23316,21726,,,,
C000460,0,28926,27006,24756,,,,
C000461,94,25206,24306,23256,,,,
C000462,94,25206,24306,23256,,,,
C000463,0,29496,27996,26226,,,,
C000464,95,22326,21396,20316,,,,
C000465,95,22326,21396,20316,,,,
C000466,0,27066,25446,23556,,,,
C000467,96,13236,12516,11646,,,,
C000468,0,13236,12516,11646,,,,
C000469,0,16986,15696,14226,,,,
C000470,97,19296,18576,17706,,,,
C000471,0,19296,18576,17706,,,,
C000472,0,22386,21246,19866,,,,
C000473,98,27636,26496,25146,,,,
C000474,0,27636,26496,25146,,,,
C000475,0,33246,31296,29016,,,,
C000476,99,12816,11916,10896,,,,
