sku,18k,14k,9k
C001159,48650,43300,36950
C001160,38200,34800,30850
C001161,38200,34800,30850
C001162,53750,48250,41750
C001163,32750,29300,25350
C001164,32750,29300,25350
C001165,47950,42450,36000
C001166,48600,44650,39950
C001167,48600,44650,39950
C001168,69100,62250,54150
C001169,34800,32250,29200
C001170,34800,32250,29200
C001171,46550,42350,37450
C001172,23400,19100,14050
C001173,23400,19100,14050
C001174,44550,37300,28750
C001175,27950,22800,16700
C001176,27950,22800,16700
C001177,52400,43900,33850
C001178,21700,17700,13000
C001179,21700,17700,13000
C001180,41200,34500,26600
C001181,12950,10550,7700
C001182,12950,10550,7700
C001183,23650,19750,15150
C001184,11200,9800,8200
C001185,11200,9800,8200
C001186,18300,15900,13050
C001187,23650,20650,17050
C001188,21050,18550,15550
C001189,32400,28400,23550
C001190,104500,101900,98950
C001191,104500,101900,98950
C001192,115850,111800,107000
C001193,212350,211700,210850
C001194,212350,211700,210850
C001195,215400,214250,212950
C001196,10650,9450,8050
