sku,22k,18k,14k,9k
C004586,,1106520,1092005,1078276
C004587,,1106520,1092005,1078276
C004589,,1574846,1555076,1535031
C004590,,1574846,1555076,1535031
C004592,,944891,918930,893591
C004593,,944891,918930,893591
C004595,,1159859,1131846,1103369
C004596,,1159859,1131846,1103369
C004598,,1128263,1106466,1084833
C004599,,1128263,1106466,1084833
C004601,,958650,936877,916793
C004602,,958650,936877,916793
C004604,,263160,242186,221508
C004605,,263160,242186,221508
C004607,,383375,374552,369257
C004608,,383375,374552,369257
C004610,,2225,1952,1824
C004611,,2225,1952,1824
C004613,,2939,2548,2400
C004614,,2939,2548,2400
C004616,,3567,3144,2976
C004617,,3567,3144,2976
C004619,,13199,10370,7340
C004620,,13199,10370,7340
C004622,,4909,4366,4143
C004623,,4909,4366,4143
C004625,,6625,6024,5789
C004626,,6625,6024,5789
C004628,,7389,6756,6501
C004629,,7389,6756,6501
C004631,,8154,7489,7213
C004632,,8154,7489,7213
C004634,,8918,8222,7924
C004635,,8918,8222,7924
C004637,,9767,8954,8636
C004638,,9767,8954,8636
C004640,,10532,9688,9348
C004641,,10532,9688,9348
C004643,,11381,10447,10077
C004644,,11381,10447,10077
C004646,,15968,15001,14610
C004647,,15968,15001,14610
C004649,,17072,16015,15592
C004650,,17072,16015,15592
C004652,,19025,17938,17493
C004653,,19025,17938,17493
C004655,,20129,18979,18492
C004656,,20129,18979,18492
C004658,,22847,21638,21140
C004659,,22847,21638,21140
C004661,,2395,2004,1857
C004662,,2395,2004,1857
C004664,,3024,2601,2433
C004665,,3024,2601,2433
C004667,,3737,3226,3024
C004668,,3737,3226,3024
C004670,,4451,3875,3632
C004671,,4451,3875,3632
C004673,,5079,4473,4208
C004674,,5079,4473,4208
C004676,,6880,6156,5871
C004677,,6880,6156,5871
C004679,,7644,6890,6582
C004680,,7644,6890,6582
C004682,,8493,7649,7309
C004683,,8493,7649,7309
C004685,,9258,8381,8021
C004686,,9258,8381,8021
C004688,,10107,9141,8750
C004689,,10107,9141,8750
